path,format,rows,columns,column_names,unlabelled_columns,inspection,status
04_adam/adsl_v.xpt,xpt,,42,STUDYID|USUBJID|SUBJID|SITEID|AGE|AGEGR1|AGEGR1N|RACE|ETHNIC|SEX|TRT01P|TRT01PN|TRT01A|TRT01AN|RANDDT|TRTSDT|TRTEDT|TRTDURD|ITTFL|SAFFL|PPROTFL|DTHFL|DTHDT|DTHCAUS|LSTALVDT|ECOGBL|MEASDISF|VISCFL|PAINBL|PSABL|ALPBL|ALBBL|LDHBL|HGBBL|DOCPROG|DOCRESP|ECOGBLIF|PSABLIF|ALPBLIF|HGBBLIF|ALBBLIF|LDHBLIF,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adtte_admiral.xpt,xpt,,13,STUDYID|USUBJID|EVNTDESC|CNSR|ADT|CNSDTDSC|STARTDT|PARAMCD|PARAM|PARAMN|PARCAT1|AVAL|AVALU,STUDYID|USUBJID|EVNTDESC|CNSR|ADT|CNSDTDSC|STARTDT|PARAMCD|PARAM|PARAMN|PARCAT1|AVAL|AVALU,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adtte_prod.xpt,xpt,,19,STUDYID|USUBJID|SUBJID|SITEID|TRT01P|TRT01PN|ITTFL|SAFFL|PARAMCD|PARAM|PARCAT1|AVALU|EVNTDESC|CNSDTDSC|ADT|STARTDT|AVAL|CNSR|PARAMN,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adtte_v.xpt,xpt,,19,STUDYID|USUBJID|SUBJID|SITEID|TRT01P|TRT01PN|ITTFL|SAFFL|PARAMCD|PARAM|PARAMN|PARCAT1|STARTDT|ADT|AVAL|AVALU|CNSR|EVNTDESC|CNSDTDSC,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/clinsite_prod.xpt,xpt,,10,STUDYID|SITEID|INVNAM|N_RAND|N_SAF|N_ITT|N_PPROT|N_DEATH|N_SAE|N_TEAE,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/clinsite_v.xpt,xpt,,10,STUDYID|SITEID|INVNAM|N_RAND|N_SAF|N_ITT|N_PPROT|N_DEATH|N_SAE|N_TEAE,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
11_ectd/0000/m5/datasets/tropic/analysis/adam/datasets/adae.xpt,xpt,,29,STUDYID|USUBJID|TRTA|TRTAN|AESEQ|AEDECOD|AEBODSYS|AEHLT|AESEV|ATOXGR|AESER|AEREL|ASTDT|AENDT|ASTDY|AENDY|AEOUT|AEACN|CQ02NAM|CQ02CD|CQ02SC|AEOCCFL|CIAESEQ|CIAESDT|CIAEEDT|CIAEDUR|TRTEMFL|ADURN|ADURU,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
11_ectd/0000/m5/datasets/tropic/analysis/adam/datasets/adcm.xpt,xpt,,15,STUDYID|USUBJID|CMTRT|CMDECOD|CMCAT|CMINDC|ASTDT|AENDT|ASTDY|NACTDT|GCSFFL|GCSFPRFL|NACTFL|PREDNFL|TRTEMFL,ASTDT|AENDT|ASTDY,metadata + first/last 5-record readability sample (values not reproduced),READABLE
11_ectd/0000/m5/datasets/tropic/analysis/adam/datasets/adex.xpt,xpt,,14,STUDYID|USUBJID|SUBJID|TRT01P|TRT01PN|TRTSDT|PARAMCD|PARAM|PARCAT1|AVAL|AVALC|AVISIT|PARAMN|AVISITN,PARAMN|AVISITN,metadata + first/last 5-record readability sample (values not reproduced),READABLE
11_ectd/0000/m5/datasets/tropic/analysis/adam/datasets/adlb.xpt,xpt,,27,STUDYID|USUBJID|SUBJID|TRT01P|TRTSDT|PARAMCD|PARAM|PARAMN|PARCAT1|ADT|AVAL|AVALC|LBNRLO|LBNRHI|LBNRIND|AVISIT|AVISITN|AWDIST|ATOXGR|BASE|BASEC|BTOXGR|CHG|PCHG|ANL01FL|BASEFL|LBDY,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
